File;TimeStamp;General Channel [V]; General Channel [V];K-Type TC [V]; K-Type TC [degC];K-Type TC 2 [V]; K-Type TC 2 [degC];K-Type TC 3 [V]; K-Type TC 3 [degC];K-Type TC 4 [V]; K-Type TC 4 [degC];K-Type TC 5 [V]; K-Type TC 5 [degC];K-Type TC 6 [V]; K-Type TC 6 [degC];K-Type TC 7 [V]; K-Type TC 7 [degC]
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0767_0.tiff;1145.802249;0.00826120425827529;0.00826120425827529;0.00969578190241944;235.416743088657;0.00698496249645725;169.597164835365;0.00707794574784909;171.854828469383;0.00101972929178055;24.7593593914458;0.00974584980701505;236.632408122359;0.00920225541426274;223.433759185023;0.000683559075210039;16.5970370223041
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0768_0.tiff;1146.402965;0.00834703495186776;0.00834703495186776;0.00950981539963576;230.901415820621;0.00699926761205599;169.944497702137;0.00703503040105286;170.812829869067;0.000991119060583059;24.0646936579018;0.00978876515381128;237.674406722674;0.00920225541426274;223.433759185023;0.000526202803623843;12.7763754878122
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0769_0.tiff;1147.004328;0.00830411960507152;0.00830411960507152;0.00953842563083325;231.596081554165;0.0069706573808585;169.249831968593;0.00709225086344784;172.202161336155;0.00103403440737929;25.1066922582178;0.00980307026941003;238.021739589446;0.00913072983626901;221.697094851163;0.000633491170614432;15.3813719886021
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0770_0.tiff;1147.605912;0.00831842472067027;0.00831842472067027;0.00955988330423136;232.117080854323;0.00694919970746039;168.728832668435;0.00704218295885223;170.986496302453;0.00101972929178055;24.7593593914458;0.00964571399782383;234.201078054955;0.00912357727846964;221.523428417777;0.000705016748608157;17.1180363224621
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0771_0.tiff;1148.206420;0.00811815310228784;0.00811815310228784;0.00934530657025019;226.907087852743;0.00700642016985537;170.118164135523;0.00699926761205599;169.944497702137;0.000890983251391843;21.6333635904979;0.00955273074643199;231.943414420937;0.00910927216287089;221.176095551005;0.000669253959611294;16.2497041555321
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0772_0.tiff;1148.806945;0.00818967868028156;0.00818967868028156;0.00948835772623764;230.380416520463;0.00684906389826917;166.297502601031;0.00694919970746039;168.728832668435;0.00110555998537302;26.8433565920777;0.00955988330423136;232.117080854323;0.00905920425827529;219.960430517303;0.00074077953760502;17.986368489392
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0773_0.tiff;1149.407892;0.00811815310228784;0.00811815310228784;0.00935961168584893;227.254420719515;0.0069205894762629;168.034166934891;0.00708509830564846;172.028494902769;0.00103403440737929;25.1066922582178;0.00951696795743513;231.075082254007;0.00904489914267654;219.613097650531;0.000690711633009412;16.7707034556901
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0774_0.tiff;1150.008598;0.00814676333348533;0.00814676333348533;0.00927378099225646;225.170423518883;0.00686336901386792;166.644835467803;0.00697780993865788;169.423498401979;0.000991119060583059;24.0646936579018;0.00949551028403701;230.554082953849;0.0090806619316734;220.481429817461;0.000719321864206902;17.4653691892341
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0775_0.tiff;1150.609552;0.00812530566008721;0.00812530566008721;0.0092380182032596;224.302091351953;0.00685621645606854;166.471169034417;0.00702072528545411;170.465497002295;0.000926746040388706;22.5016957574279;0.00950981539963576;230.901415820621;0.00905205170047591;219.786764083917;0.000697864190808784;16.9443698890761
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0776_0.tiff;1151.210710;0.00798940706189913;0.00798940706189913;0.00927378099225646;225.170423518883;0.00688482668726603;167.165834767961;0.00708509830564846;172.028494902769;0.000962508829385568;23.3700279243579;0.00938106935924705;227.775420019673;0.00897337356468282;217.876433316671;0.000647796286213177;15.7287048553741
